"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32172","create new user using POM Virat","chromium","2026-05-09","broken","2026-05-09","New user registration","Registration.spec.js","",""
"","31064","create new user using POM Rahul","webkit","2026-05-09","broken","2026-05-09","New user registration","Registration.spec.js","",""
"","31184","create new user using POM Virat","webkit","2026-05-09","broken","2026-05-09","New user registration","Registration.spec.js","",""
"","32112","create new user using POM Sanju","chromium","2026-05-09","broken","2026-05-09","New user registration","Registration.spec.js","",""
"","32642","login","firefox","2026-05-09","broken","2026-05-09","","logintest.spec.js","",""
"","30892","create new user using POM Rohit","webkit","2026-05-09","broken","2026-05-09","New user registration","Registration.spec.js","",""
"","870","create new user","webkit","2026-04-12","failed","2026-04-12","New user registration","Registration.spec.js","",""
"","7090","create new user","chromium","2026-04-12","failed","2026-04-12","New user registration","Registration.spec.js","",""
"","3491","login","chromium","2026-05-09","passed","2026-05-09","","logintest.spec.js","",""
"","32070","create new user using POM Sanju","firefox","2026-05-09","broken","2026-05-09","New user registration","Registration.spec.js","",""
"","31720","create new user using POM Rohit","firefox","2026-05-09","broken","2026-05-09","New user registration","Registration.spec.js","",""
"","32160","create new user using POM Rohit","chromium","2026-05-09","broken","2026-05-09","New user registration","Registration.spec.js","",""
"","13776","login","webkit","2026-05-09","passed","2026-05-09","","logintest.spec.js","",""
"","2555","create new user","firefox","2026-04-12","failed","2026-04-12","New user registration","Registration.spec.js","",""
"","33573","create new user using POM Virat","firefox","2026-05-09","broken","2026-05-09","New user registration","Registration.spec.js","",""
"","31823","create new user using POM Rahul","firefox","2026-05-09","broken","2026-05-09","New user registration","Registration.spec.js","",""
"","32591","create new user using POM Rahul","chromium","2026-05-09","broken","2026-05-09","New user registration","Registration.spec.js","",""
"","30801","create new user using POM Sanju","webkit","2026-05-09","broken","2026-05-09","New user registration","Registration.spec.js","",""
